RelativePath,Filename,Extension,Category,TotalLines,NonEmptyLines,CommentLines,MaxThreshold,IsOversized
"src/engines/chain/ChainEngine.ts","ChainEngine.ts",".ts","TypeScript Logic",248,217,16,250,false
"src/engines/chat/ChatEngine.ts","ChatEngine.ts",".ts","TypeScript Logic",248,212,6,250,false
"src/engines/context/ContextEngine.ts","ContextEngine.ts",".ts","TypeScript Logic",243,204,13,250,false
"src/adapters/terminal/chain/chainCommands.ts","chainCommands.ts",".ts","TypeScript Logic",221,185,6,250,false
"src/adapters/interpreter/CommandInterpreter.ts","CommandInterpreter.ts",".ts","TypeScript Logic",194,165,5,250,false
"src/services/ai/comfyui/helpers/inspectWorkflow.ts","inspectWorkflow.ts",".ts","TypeScript Logic",183,161,5,250,false
"src/engines/chat/helpers/chatOptions.ts","chatOptions.ts",".ts","TypeScript Logic",179,165,5,250,false
"src/adapters/storage/FileContextStorage.ts","FileContextStorage.ts",".ts","TypeScript Logic",178,161,13,250,false
"src/kernel/daemon/JSAIOSDaemon.ts","JSAIOSDaemon.ts",".ts","TypeScript Logic",177,150,7,250,false
"src/shell/browser/helpers/BrowserLocalCommandDispatcher.ts","BrowserLocalCommandDispatcher.ts",".ts","TypeScript Logic",175,153,9,250,false
"src/shell/browser/renderer/UIRenderer.tsx","UIRenderer.tsx",".tsx","React Component",152,141,7,250,false
"src/engines/chat/helpers/ChatSession.ts","ChatSession.ts",".ts","TypeScript Logic",147,133,6,250,false
"src/shell/server/JSAIOSServerAdapter.ts","JSAIOSServerAdapter.ts",".ts","TypeScript Logic",146,127,8,250,false
"src/shell/terminal/terminalShell.ts","terminalShell.ts",".ts","TypeScript Logic",143,116,6,250,false
"src/services/ai/comfyui/ComfyUIService.ts","ComfyUIService.ts",".ts","TypeScript Logic",141,125,5,250,false
"src/kernel/HoneyKernel.ts","HoneyKernel.ts",".ts","TypeScript Logic",136,115,29,250,false
"src/adapters/terminal/services/parseOllamaOptions.ts","parseOllamaOptions.ts",".ts","TypeScript Logic",131,123,4,250,false
"src/shell/browser/components/SearchControlBar.tsx","SearchControlBar.tsx",".tsx","React Component",130,122,5,250,false
"src/adapters/interpreter/helpers/renderHelp.ts","renderHelp.ts",".ts","TypeScript Logic",124,102,4,250,false
"src/adapters/terminal/context/packCommands.ts","packCommands.ts",".ts","TypeScript Logic",124,100,4,250,false
"src/kernel/types.ts","types.ts",".ts","TypeScript Logic",122,104,4,250,false
"src/services/ai/comfyui/helpers/applyWorkflowOverrides.ts","applyWorkflowOverrides.ts",".ts","TypeScript Logic",122,104,10,250,false
"src/services/ai/ollama/helpers/generateText.ts","generateText.ts",".ts","TypeScript Logic",113,95,7,250,false
"src/shell/browser/components/BrowserApp.tsx","BrowserApp.tsx",".tsx","React Component",113,101,5,250,false
"src/engines/context/helpers/types.ts","types.ts",".ts","TypeScript Logic",111,95,4,250,false
"src/adapters/terminal/chat/handleChatSessions.ts","handleChatSessions.ts",".ts","TypeScript Logic",105,93,4,250,false
"src/engines/chain/helpers/StepContextAssembler.ts","StepContextAssembler.ts",".ts","TypeScript Logic",104,89,9,250,false
"src/adapters/terminal/chat/ChatTerminalAdapter.ts","ChatTerminalAdapter.ts",".ts","TypeScript Logic",103,91,4,250,false
"src/adapters/terminal/context/ContextTerminalAdapter.ts","ContextTerminalAdapter.ts",".ts","TypeScript Logic",103,92,3,250,false
"src/adapters/terminal/services/ComfyTerminalAdapter.ts","ComfyTerminalAdapter.ts",".ts","TypeScript Logic",102,82,4,250,false
"src/adapters/terminal/structure/structureCommands.ts","structureCommands.ts",".ts","TypeScript Logic",96,81,4,250,false
"src/engines/chain/helpers/types.ts","types.ts",".ts","TypeScript Logic",96,82,10,250,false
"src/shell/browser/hooks/useSearchableList.ts","useSearchableList.ts",".ts","TypeScript Logic",94,81,8,250,false
"src/adapters/terminal/services/parseComfyOptions.ts","parseComfyOptions.ts",".ts","TypeScript Logic",90,82,5,250,false
"src/services/ai/AIService.ts","AIService.ts",".ts","TypeScript Logic",90,79,4,250,false
"src/shell/terminal/helpers/terminalColors.ts","terminalColors.ts",".ts","TypeScript Logic",90,80,18,250,false
"src/shell/terminal/formatters/WinTerminalFormatter.ts","WinTerminalFormatter.ts",".ts","TypeScript Logic",89,73,6,250,false
"src/shell/server/helpers/serverActionDispatcher.ts","serverActionDispatcher.ts",".ts","TypeScript Logic",88,77,7,250,false
"src/shell/terminal/formatters/POSIXBashFormatter.ts","POSIXBashFormatter.ts",".ts","TypeScript Logic",85,70,4,250,false
"src/shell/terminal/formatters/WinPowerShellFormatter.ts","WinPowerShellFormatter.ts",".ts","TypeScript Logic",85,70,4,250,false
"src/services/ai/comfyui/helpers/buildWorkflow.ts","buildWorkflow.ts",".ts","TypeScript Logic",84,79,4,250,false
"src/services/ai/copilot/helpers/generateText.ts","generateText.ts",".ts","TypeScript Logic",84,73,5,250,false
"src/services/ai/ollama/OllamaService.ts","OllamaService.ts",".ts","TypeScript Logic",82,72,4,250,false
"src/shell/browser/BrowserClientAdapter.ts","BrowserClientAdapter.ts",".ts","TypeScript Logic",82,69,4,250,false
"src/shell/browser/components/SearchableDataContainer.tsx","SearchableDataContainer.tsx",".tsx","React Component",82,74,4,250,false
"src/engines/chat/helpers/types.ts","types.ts",".ts","TypeScript Logic",78,70,6,250,false
"src/shell/browser/components/Input.tsx","Input.tsx",".tsx","React Component",77,70,4,250,false
"src/adapters/daemon/DaemonClientAdapter.ts","DaemonClientAdapter.ts",".ts","TypeScript Logic",76,64,5,250,false
"src/adapters/terminal/context/promptCommands.ts","promptCommands.ts",".ts","TypeScript Logic",76,64,5,250,false
"src/engines/chat/helpers/formatConfigReport.ts","formatConfigReport.ts",".ts","TypeScript Logic",76,68,4,250,false
"src/shell/browser/components/TextBlock.tsx","TextBlock.tsx",".tsx","React Component",76,65,5,250,false
"src/adapters/storage/FileSessionStorage.ts","FileSessionStorage.ts",".ts","TypeScript Logic",75,63,5,250,false
"src/adapters/terminal/chat/chatDescriptor.ts","chatDescriptor.ts",".ts","TypeScript Logic",75,72,4,250,false
"src/services/ai/copilot/CopilotService.ts","CopilotService.ts",".ts","TypeScript Logic",75,65,4,250,false
"src/services/ai/comfyui/helpers/connectComfyWebSocket.ts","connectComfyWebSocket.ts",".ts","TypeScript Logic",73,60,6,250,false
"src/adapters/terminal/services/CopilotTerminalAdapter.ts","CopilotTerminalAdapter.ts",".ts","TypeScript Logic",71,57,4,250,false
"src/kernel/daemon/helpers/DaemonLogger.ts","DaemonLogger.ts",".ts","TypeScript Logic",71,58,5,250,false
"src/adapters/storage/FileChainStorage.ts","FileChainStorage.ts",".ts","TypeScript Logic",70,59,5,250,false
"src/engines/context/helpers/ConditionEvaluator.ts","ConditionEvaluator.ts",".ts","TypeScript Logic",70,57,4,250,false
"src/bootloaders/serverBootloader.ts","serverBootloader.ts",".ts","TypeScript Logic",67,56,7,250,false
"src/kernel/EventBus.ts","EventBus.ts",".ts","TypeScript Logic",67,57,14,250,false
"src/engines/context/helpers/ContextPackManager.ts","ContextPackManager.ts",".ts","TypeScript Logic",66,56,4,250,false
"src/engines/context/helpers/StructureManager.ts","StructureManager.ts",".ts","TypeScript Logic",64,54,4,250,false
"src/adapters/interpreter/helpers/getCompletions.ts","getCompletions.ts",".ts","TypeScript Logic",62,52,4,250,false
"src/adapters/interpreter/helpers/tokenizeCommandLine.ts","tokenizeCommandLine.ts",".ts","TypeScript Logic",62,50,4,250,false
"src/adapters/terminal/context/addPrompt.ts","addPrompt.ts",".ts","TypeScript Logic",62,50,4,250,false
"src/shell/browser/adapters/BrowserLocalAdapter.ts","BrowserLocalAdapter.ts",".ts","TypeScript Logic",62,53,8,250,false
"src/shell/browser/components/Checkbox.tsx","Checkbox.tsx",".tsx","React Component",62,55,4,250,false
"src/services/ai/comfyui/helpers/generateMedia.ts","generateMedia.ts",".ts","TypeScript Logic",61,50,5,250,false
"src/shell/browser/storage/LocalStorageSessionStorage.ts","LocalStorageSessionStorage.ts",".ts","TypeScript Logic",60,52,5,250,false
"src/shell/browser/components/CodeHighlightBlock.tsx","CodeHighlightBlock.tsx",".tsx","React Component",59,52,5,250,false
"src/adapters/terminal/chain/ChainTerminalAdapter.ts","ChainTerminalAdapter.ts",".ts","TypeScript Logic",58,53,3,250,false
"src/kernel/ServiceRegistry.ts","ServiceRegistry.ts",".ts","TypeScript Logic",58,48,22,250,false
"src/services/ai/copilot/helpers/fetchCopilotToken.ts","fetchCopilotToken.ts",".ts","TypeScript Logic",58,47,4,250,false
"src/shell/browser/components/Textarea.tsx","Textarea.tsx",".tsx","React Component",57,50,4,250,false
"src/adapters/terminal/chat/handleChatConfig.ts","handleChatConfig.ts",".ts","TypeScript Logic",56,45,4,250,false
"src/shell/browser/components/TableView.tsx","TableView.tsx",".tsx","React Component",56,51,4,250,false
"src/shell/browser/components/CardGridView.tsx","CardGridView.tsx",".tsx","React Component",55,50,4,250,false
"src/shell/browser/layouts/Layout.tsx","Layout.tsx",".tsx","React Component",55,49,4,250,false
"src/bootloaders/terminalBootloader.ts","terminalBootloader.ts",".ts","TypeScript Logic",54,43,5,250,false
"src/adapters/terminal/chat/handleChatSend.ts","handleChatSend.ts",".ts","TypeScript Logic",53,46,4,250,false
"src/services/ai/copilot/helpers/fetchModels.ts","fetchModels.ts",".ts","TypeScript Logic",52,44,5,250,false
"src/adapters/terminal/services/OllamaTerminalAdapter.ts","OllamaTerminalAdapter.ts",".ts","TypeScript Logic",51,41,4,250,false
"src/shell/browser/components/PaginationFooter.tsx","PaginationFooter.tsx",".tsx","React Component",50,43,4,250,false
"src/adapters/factories/createChatEngine.ts","createChatEngine.ts",".ts","TypeScript Logic",48,43,5,250,false
"src/shell/terminal/helpers/printLogAbovePrompt.ts","printLogAbovePrompt.ts",".ts","TypeScript Logic",47,37,11,250,false
"src/services/ai/comfyui/helpers/getNodeInfo.ts","getNodeInfo.ts",".ts","TypeScript Logic",46,39,4,250,false
"src/shell/browser/components/CodeEditor.tsx","CodeEditor.tsx",".tsx","React Component",45,40,4,250,false
